Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
1	608.498	583.364	355.684	0.1787562370	0.0000000000	0.0000000000	0.0000000000
1	592.9890136719	586.6644897461	357.0499877930	0.1787562370	0.0000000000	1.0000000000	0.0000000000
2	592.9890136719	586.6644897461	357.0499877930	0.1787562370	0.0000000000	1.0000000000	0.0000000000
2	587.3535156250	588.8375244141	357.3049926758	0.0836944580	0.0000000000	2.0000000000	0.0000000000
3	592.9890136719	586.6644897461	357.0499877930	0.1787562370	0.0000000000	1.0000000000	0.0000000000
3	578.1740112305	576.5009765625	357.7210083008	0.2216272354	0.0000000000	3.0000000000	0.0000000000
4	587.3535156250	588.8375244141	357.3049926758	0.0836944580	0.0000000000	2.0000000000	0.0000000000
4	575.4200439453	595.5549926758	357.8450012207	0.1900100708	0.0000000000	2.0000000000	0.0000000000
5	575.4200439453	595.5549926758	357.8450012207	0.1900100708	0.0000000000	2.0000000000	0.0000000000
5	561.8787841797	601.5164184570	358.3484802246	0.2066082954	0.0000000000	2.0000000000	0.0000000000
6	561.8787841797	601.5164184570	358.3484802246	0.2066082954	0.0000000000	2.0000000000	0.0000000000
6	545.1430053711	607.7730102539	359.2160034180	0.2480735779	0.0000000000	2.0000000000	0.0000000000
7	545.1430053711	607.7730102539	359.2160034180	0.2480735779	0.0000000000	2.0000000000	0.0000000000
7	535.6574707031	603.3399658203	359.6450195312	0.1290984154	0.0000000000	4.0000000000	0.0000000000
8	545.1430053711	607.7730102539	359.2160034180	0.2480735779	0.0000000000	2.0000000000	0.0000000000
8	535.0319824219	616.3649902344	359.6735229492	0.2272388935	0.0000000000	5.0000000000	0.0000000000
9	535.6574707031	603.3399658203	359.6450195312	0.1290984154	0.0000000000	4.0000000000	0.0000000000
9	526.1719970703	598.9069824219	360.0740051270	0.1290974617	0.0000000000	4.0000000000	0.0000000000
10	526.1719970703	598.9069824219	360.0740051270	0.1290974617	0.0000000000	4.0000000000	0.0000000000
10	519.0591430664	601.8464355469	359.4421997070	0.1253314018	0.0000000000	4.0000000000	0.0000000000
11	519.0591430664	601.8464355469	359.4421997070	0.1253314018	0.0000000000	4.0000000000	0.0000000000
11	507.6190185547	602.2545166016	360.9140014648	0.1777596474	0.0000000000	4.0000000000	0.0000000000
12	507.6190185547	602.2545166016	360.9140014648	0.1777596474	0.0000000000	4.0000000000	0.0000000000
12	489.8039855957	604.7109985352	361.7200012207	0.2773885727	0.0000000000	4.0000000000	0.0000000000
13	489.8039855957	604.7109985352	361.7200012207	0.2773885727	0.0000000000	4.0000000000	0.0000000000
13	472.9949951172	606.6815185547	362.4810180664	0.2610340118	0.0000000000	4.0000000000	0.0000000000
14	472.9949951172	606.6815185547	362.4810180664	0.2610340118	0.0000000000	4.0000000000	0.0000000000
14	456.6340026855	607.5460205078	363.2219848633	0.2526960373	0.0000000000	4.0000000000	0.0000000000
15	456.6340026855	607.5460205078	363.2219848633	0.2526960373	0.0000000000	4.0000000000	0.0000000000
15	440.5629882812	607.8670043945	363.9490051270	0.2479166985	0.0000000000	4.0000000000	0.0000000000
16	440.5629882812	607.8670043945	363.9490051270	0.2479166985	0.0000000000	4.0000000000	0.0000000000
16	426.4284973145	612.0419311523	364.2305297852	0.2318854332	0.0000000000	4.0000000000	0.0000000000
17	426.4284973145	612.0419311523	364.2305297852	0.2318854332	0.0000000000	4.0000000000	0.0000000000
17	412.3740234375	614.0565185547	365.2244873047	0.2192649841	0.0000000000	4.0000000000	0.0000000000
18	412.3740234375	614.0565185547	365.2244873047	0.2192649841	0.0000000000	4.0000000000	0.0000000000
18	408.4830627441	612.0278930664	374.7986450195	0.1507201195	0.0000000000	6.0000000000	1.0000000000
19	412.3740234375	614.0565185547	365.2244873047	0.2192649841	0.0000000000	4.0000000000	0.0000000000
19	407.5468444824	611.5884399414	364.9247131348	0.0770316124	0.0000000000	7.0000000000	0.0000000000
20	408.4830627441	612.0278930664	374.7986450195	0.1507201195	0.0000000000	6.0000000000	1.0000000000
20	408.8864440918	611.0459594727	384.9800109863	0.1755248904	0.0000000000	6.0000000000	1.0000000000
