Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
1	777.934	409.003	249.472	0.0258891582	0.0000000000	0.0000000000	0.0000000000
1	774.3930053711	409.0469970703	249.6269989014	0.0258891582	0.0000000000	1.0000000000	0.0000000000
2	774.3930053711	409.0469970703	249.6269989014	0.0258891582	0.0000000000	1.0000000000	0.0000000000
2	761.2730102539	408.9490051270	250.2209930420	0.0905986428	0.0000000000	1.0000000000	0.0000000000
3	761.2730102539	408.9490051270	250.2209930420	0.0905986428	0.0000000000	1.0000000000	0.0000000000
3	747.1929931641	412.0010070801	250.8580017090	0.1262844801	0.0000000000	2.0000000000	0.0000000000
4	761.2730102539	408.9490051270	250.2209930420	0.0905986428	0.0000000000	1.0000000000	0.0000000000
4	745.3330078125	405.6640014648	250.9429931641	0.1275281310	0.0000000000	3.0000000000	0.0000000000
5	747.1929931641	412.0010070801	250.8580017090	0.1262844801	0.0000000000	2.0000000000	0.0000000000
5	730.4739990234	420.5260009766	251.6150054932	0.1468741447	0.0000000000	2.0000000000	0.0000000000
6	730.4739990234	420.5260009766	251.6150054932	0.1468741447	0.0000000000	2.0000000000	0.0000000000
6	716.5330200195	424.4360046387	251.7200012207	0.1012217477	0.0000000000	2.0000000000	0.0000000000
7	716.5330200195	424.4360046387	251.7200012207	0.1012217477	0.0000000000	2.0000000000	0.0000000000
7	704.6199951172	427.1289978027	252.7850036621	0.0794224739	0.0000000000	2.0000000000	1.0000000000
8	704.6199951172	427.1289978027	252.7850036621	0.0794224739	0.0000000000	2.0000000000	1.0000000000
8	697.8469848633	427.7189941406	253.6049957275	0.0794224739	0.0000000000	2.0000000000	1.0000000000
9	697.8469848633	427.7189941406	253.6049957275	0.0794224739	0.0000000000	2.0000000000	1.0000000000
9	694.0529785156	428.8729858398	254.6799926758	0.0463700294	0.0000000000	2.0000000000	1.0000000000
10	694.0529785156	428.8729858398	254.6799926758	0.0463700294	0.0000000000	2.0000000000	1.0000000000
10	678.6500244141	441.0620117188	258.7600097656	0.2602148056	0.0000000000	2.0000000000	1.0000000000
11	678.6500244141	441.0620117188	258.7600097656	0.2602148056	0.0000000000	2.0000000000	1.0000000000
11	663.9530029297	449.2399902344	258.4609985352	0.2093687057	0.0000000000	2.0000000000	1.0000000000
12	663.9530029297	449.2399902344	258.4609985352	0.2093687057	0.0000000000	2.0000000000	1.0000000000
12	647.5319824219	452.6029968262	260.3720092773	0.1963372231	0.0000000000	2.0000000000	1.0000000000
13	647.5319824219	452.6029968262	260.3720092773	0.1963372231	0.0000000000	2.0000000000	1.0000000000
13	640.2550048828	458.8389892578	262.2650146484	0.1153140068	0.0000000000	2.0000000000	1.0000000000
14	640.2550048828	458.8389892578	262.2650146484	0.1153140068	0.0000000000	2.0000000000	1.0000000000
14	630.5910034180	465.8280029297	262.9179992676	0.1801624298	0.0000000000	2.0000000000	1.0000000000
15	630.5910034180	465.8280029297	262.9179992676	0.1801624298	0.0000000000	2.0000000000	1.0000000000
15	612.0460205078	473.6390075684	266.1430053711	0.2447938919	0.0000000000	2.0000000000	1.0000000000
16	612.0460205078	473.6390075684	266.1430053711	0.2447938919	0.0000000000	2.0000000000	1.0000000000
16	601.1350097656	476.5450134277	266.7170104980	0.1359367371	0.0000000000	2.0000000000	1.0000000000
17	601.1350097656	476.5450134277	266.7170104980	0.1359367371	0.0000000000	2.0000000000	1.0000000000
17	588.1250000000	483.5090026855	268.6340026855	0.1721305847	0.0000000000	2.0000000000	1.0000000000
18	588.1250000000	483.5090026855	268.6340026855	0.1721305847	0.0000000000	2.0000000000	1.0000000000
18	578.9979858398	488.7940063477	273.4440002441	0.1426482201	0.0000000000	2.0000000000	1.0000000000
19	578.9979858398	488.7940063477	273.4440002441	0.1426482201	0.0000000000	2.0000000000	1.0000000000
19	567.5390014648	494.7390136719	273.7950134277	0.1764602661	0.0000000000	2.0000000000	1.0000000000
20	567.5390014648	494.7390136719	273.7950134277	0.1764602661	0.0000000000	2.0000000000	1.0000000000
20	548.4000244141	503.0979919434	275.2659912109	0.2560677528	0.0000000000	2.0000000000	1.0000000000
21	548.4000244141	503.0979919434	275.2659912109	0.2560677528	0.0000000000	2.0000000000	1.0000000000
21	535.1389770508	516.2219848633	277.8919982910	0.2743482590	0.0000000000	2.0000000000	1.0000000000
22	535.1389770508	516.2219848633	277.8919982910	0.2743482590	0.0000000000	2.0000000000	1.0000000000
22	517.1040039062	526.1779785156	281.7080078125	0.2513947487	0.0000000000	2.0000000000	1.0000000000
23	517.1040039062	526.1779785156	281.7080078125	0.2513947487	0.0000000000	2.0000000000	1.0000000000
23	506.2550048828	532.9990234375	282.5650024414	0.1541876793	0.0000000000	2.0000000000	1.0000000000
24	506.2550048828	532.9990234375	282.5650024414	0.1541876793	0.0000000000	2.0000000000	1.0000000000
24	500.8689880371	534.5510253906	286.1029968262	0.0743699074	0.0000000000	2.0000000000	1.0000000000
25	500.8689880371	534.5510253906	286.1029968262	0.0743699074	0.0000000000	2.0000000000	1.0000000000
