Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
1	608.498	583.364	355.684	0.2917521000	0.0000000000	0.0000000000	0.0000000000
1	592.9890136719	586.6640014648	357.0499877930	0.1431293488	0.0000000000	1.0000000000	0.0000000000
2	608.4979858398	583.3640136719	355.6839904785	0.2917521000	0.0000000000	0.0000000000	0.0000000000
2	616.4550170898	594.0499877930	353.5799865723	0.2917521000	0.0000000000	2.0000000000	0.0000000000
3	592.9890136719	586.6640014648	357.0499877930	0.1431293488	0.0000000000	1.0000000000	0.0000000000
3	583.1480102539	586.2089843750	357.4949951172	0.0886890888	0.0000000000	1.0000000000	0.0000000000
4	583.1480102539	586.2089843750	357.4949951172	0.0886890888	0.0000000000	1.0000000000	0.0000000000
4	566.6530151367	588.7969970703	358.2420043945	0.1855697632	0.0000000000	3.0000000000	0.0000000000
5	583.1480102539	586.2089843750	357.4949951172	0.0886890888	0.0000000000	1.0000000000	0.0000000000
5	568.5070190430	580.3070068359	358.1579895020	0.1949157715	0.0000000000	4.0000000000	0.0000000000
6	566.6530151367	588.7969970703	358.2420043945	0.1855697632	0.0000000000	3.0000000000	0.0000000000
6	551.1779785156	593.9050292969	358.0029907227	0.1931076050	0.0000000000	3.0000000000	0.0000000000
7	551.1779785156	593.9050292969	358.0029907227	0.1931076050	0.0000000000	3.0000000000	0.0000000000
7	545.3930053711	595.2969970703	359.2040100098	0.0673961639	0.0000000000	3.0000000000	0.0000000000
8	545.3930053711	595.2969970703	359.2040100098	0.0673961639	0.0000000000	3.0000000000	0.0000000000
8	541.5789794922	595.8779907227	357.7909851074	0.0506210327	0.0000000000	3.0000000000	0.0000000000
9	541.5789794922	595.8779907227	357.7909851074	0.0506210327	0.0000000000	3.0000000000	0.0000000000
9	526.1719970703	598.9069824219	360.0740051270	0.1761713028	0.0000000000	3.0000000000	0.0000000000
10	526.1719970703	598.9069824219	360.0740051270	0.1761713028	0.0000000000	3.0000000000	0.0000000000
10	519.0590209961	601.8460083008	359.4419860840	0.0915801525	0.0000000000	3.0000000000	0.0000000000
11	519.0590209961	601.8460083008	359.4419860840	0.0915801525	0.0000000000	3.0000000000	0.0000000000
11	507.6189880371	602.2550048828	360.9140014648	0.1460573524	0.0000000000	5.0000000000	1.0000000000
12	519.0590209961	601.8460083008	359.4419860840	0.0915801525	0.0000000000	3.0000000000	0.0000000000
12	516.4400024414	607.0310058594	360.5140075684	0.2320152521	0.0000000000	6.0000000000	0.0000000000
13	507.6189880371	602.2550048828	360.9140014648	0.1460573524	0.0000000000	5.0000000000	1.0000000000
13	489.8039855957	604.7109985352	361.7200012207	0.1818540096	0.0000000000	7.0000000000	1.0000000000
14	489.8039855957	604.7109985352	361.7200012207	0.1818540096	0.0000000000	7.0000000000	1.0000000000
14	472.9949951172	606.6820068359	362.4809875488	0.2650608420	0.0000000000	8.0000000000	1.0000000000
15	489.8039855957	604.7109985352	361.7200012207	0.1818540096	0.0000000000	7.0000000000	1.0000000000
15	492.0870056152	594.3850097656	363.0939941406	0.2098515034	0.0000000000	9.0000000000	0.0000000000
16	489.8039855957	604.7109985352	361.7200012207	0.1818540096	0.0000000000	7.0000000000	1.0000000000
16	501.6510009766	603.2739868164	363.0069885254	0.2379750758	0.0000000000	10.0000000000	1.0000000000
17	472.9949951172	606.6820068359	362.4809875488	0.2650608420	0.0000000000	8.0000000000	1.0000000000
17	456.6340026855	607.5460205078	363.2219848633	0.3433426023	0.0000000000	8.0000000000	1.0000000000
18	456.6340026855	607.5460205078	363.2219848633	0.3433426023	0.0000000000	8.0000000000	1.0000000000
18	440.5629882812	607.8670043945	363.9490051270	0.1911456585	0.0000000000	11.0000000000	1.0000000000
19	440.5629882812	607.8670043945	363.9490051270	0.1911456585	0.0000000000	11.0000000000	1.0000000000
19	426.4280090332	612.0419921875	364.2309875488	0.1497199535	0.0000000000	12.0000000000	1.0000000000
20	440.5629882812	607.8670043945	363.9490051270	0.1911456585	0.0000000000	11.0000000000	1.0000000000
20	423.3240051270	606.5200195312	364.7290039062	0.2372627258	0.0000000000	13.0000000000	0.0000000000
21	440.5629882812	607.8670043945	363.9490051270	0.1911456585	0.0000000000	11.0000000000	1.0000000000
21	435.3169860840	619.9320068359	363.8399963379	0.2712616324	0.0000000000	14.0000000000	0.0000000000
22	426.4280090332	612.0419921875	364.2309875488	0.1497199535	0.0000000000	12.0000000000	1.0000000000
22	412.3739929199	614.0570068359	365.2239990234	0.1410938501	0.0000000000	15.0000000000	1.0000000000
23	412.3739929199	614.0570068359	365.2239990234	0.1410938501	0.0000000000	15.0000000000	1.0000000000
23	412.8630065918	615.1760253906	370.5820007324	0.2531710863	0.0000000000	16.0000000000	1.0000000000
24	412.8630065918	615.1760253906	370.5820007324	0.2531710863	0.0000000000	16.0000000000	1.0000000000
24	412.0549926758	616.0889892578	381.7210083008	0.1540545225	0.0000000000	17.0000000000	1.0000000000
25	412.8630065918	615.1760253906	370.5820007324	0.2531710863	0.0000000000	16.0000000000	1.0000000000
25	424.6440124512	609.6069946289	376.1229858398	0.2531710863	0.0000000000	18.0000000000	1.0000000000
26	412.0549926758	616.0889892578	381.7210083008	0.1540545225	0.0000000000	17.0000000000	1.0000000000
26	411.6900024414	614.7290039062	388.7179870605	0.1479519606	0.0000000000	17.0000000000	1.0000000000
27	411.6900024414	614.7290039062	388.7179870605	0.1479519606	0.0000000000	17.0000000000	1.0000000000
27	412.8340148926	615.8870239258	399.2460021973	0.1399103999	0.0000000000	19.0000000000	1.0000000000
28	411.6900024414	614.7290039062	388.7179870605	0.1479519606	0.0000000000	17.0000000000	1.0000000000
28	408.8859863281	611.0460205078	384.9800109863	0.1479519606	0.0000000000	20.0000000000	1.0000000000
29	412.8340148926	615.8870239258	399.2460021973	0.1399103999	0.0000000000	19.0000000000	1.0000000000
29	415.5159912109	615.1669921875	409.9549865723	0.0791833103	0.0000000000	19.0000000000	1.0000000000
30	415.5159912109	615.1669921875	409.9549865723	0.0791833103	0.0000000000	19.0000000000	1.0000000000
