Index	X	Y	Z
1	411.093	613.893	421.587
2	137.711	316.738	472.322
3	157.161	544.737	474.809
4	299.795	108.19	482.581
5	373.274	733.836	466.029
6	608.498	583.364	355.684
7	777.934	409.003	249.472
8	126.843	238.843	0.0674501
9	138.049	265.791	8.37438
10	113.429	258.985	2.06861
11	93.2675	242.29	8.70366
12	147.866	203.159	3.02895
13	107.564	210.097	5.29797
14	136.257	249.472	23.2798
15	165.223	266.851	5.50823
16	164.947	281.804	14.777
17	169.102	312.832	2.40222
18	171.155	249.218	12.081
19	159.024	265.825	23.1242
20	167.687	227.866	2.91188
21	75.1411	260.937	19.8262
22	69.8317	235.702	4.94316
23	109.52	226.22	26.7695
24	90.5972	212.492	20.8306
25	204.61	257.919	8.18528
26	189.113	262.732	15.6163
27	73.6061	240.096	34.5977
28	138.087	220.014	28.7331
29	113.251	268.377	25.3309
30	126.491	262.645	36.3031
31	69.2777	209.002	2.33752
32	98.5822	254.642	18.2979
33	188.181	231.88	12.7527
34	170.927	191.91	5.3836
35	215.865	224.316	2.48484
36	224.856	243.391	14.8931
37	167.671	235.877	31.2494
38	204.621	235.72	29.9528
39	91.1857	280.664	16.1112
40	153.493	254.479	36.3786
41	190.352	251.563	37.9609
42	150.067	219.896	44.5081
43	164.588	197.998	35.2547
44	160.274	264.636	47.0609
45	176.122	274.64	35.5903
46	140.095	303.144	3.26866
47	124.899	287.659	21.8018
48	122.478	238.068	15.3346
49	114.732	299.611	10.9314
50	136.13	318.955	35.8104
51	120.426	310.288	27.0475
52	113.012	240.686	35.9105
53	152.05	170.249	11.229
54	144.28	206.543	14.6885
55	170.111	192.08	17.3837
56	55.6307	184.085	5.78205
57	51.1472	212.71	14.9002
58	92.4234	309.44	20.3164
59	160.695	299.052	23.0345
60	140.012	304.857	20.0868
61	183.486	202.254	50.049
62	131.725	199.776	45.2526
63	187.476	201.382	25.4563
64	184.556	207.744	10.3235
65	220.309	204.207	12.7521
66	50.2947	221.624	34.9389
67	35.3605	208.304	4.12743
68	34.5543	216.29	27.7826
