Index	X	Y	Z
1	6.4179	403.243	481.608
1	50.4604	408.368	471.868
2	50.4604	408.368	471.868
2	6.4179	403.243	481.608
3	50.4604	408.368	471.868
3	169.306	399.979	432.129
4	169.306	399.979	432.129
4	50.4604	408.368	471.868
5	169.306	399.979	432.129
5	243.409	401.377	415.714
6	243.409	401.377	415.714
6	169.306	399.979	432.129
7	243.409	401.377	415.714
7	375.523	427.252	376.389
8	375.523	427.252	376.389
8	243.409	401.377	415.714
9	375.523	427.252	376.389
9	530.035	462.897	338.301
10	530.035	462.897	338.301
10	375.523	427.252	376.389
11	530.035	462.897	338.301
11	619.518	493.656	320.108
12	619.518	493.656	320.108
12	530.035	462.897	338.301
13	619.518	493.656	320.108
13	719.324	518.098	301.282
14	719.324	518.098	301.282
14	619.518	493.656	320.108
15	719.324	518.098	301.282
15	784.503	514.629	275.977
16	784.503	514.629	275.977
16	719.324	518.098	301.282
17	784.503	514.629	275.977
17	841.829	528.611	268.629
18	841.829	528.611	268.629
18	784.503	514.629	275.977
